name,issns,price,currency,country
ABC Journal Package: International Journal of Business Communication & Business and Professional Communication Quarterly,"2329-4892, 2329-4922",653,USD,USA
ABC Journal Package: International Journal of Business Communication & Business and Professional Communication Quarterly,"2329-4892, 2329-4922",382,GBP,GBR
Environment & Planning Package: A + B + E,"1472-3409, 1472-3417, 2514-8494",4554,USD,USA
Environment & Planning Package: A + B + E,"1472-3409, 1472-3417, 2514-8494",2462,GBP,GBR
Environment & Planning Package: A + C + E,"1472-3409, 1472-3425, 2514-8494",4535,USD,USA
Environment & Planning Package: A + C + E,"1472-3409, 1472-3425, 2514-8494",2452,GBP,GBR
Environment & Planning Package: A + D + E,"1472-3409, 1472-3433, 2514-8494",4520,USD,USA
Environment & Planning Package: A + D + E,"1472-3409, 1472-3433, 2514-8494",2444,GBP,GBR
Environment & Planning Package: B + C,"1472-3417, 1472-3425",3047,USD,USA
Environment & Planning Package: B + C,"1472-3417, 1472-3425",1646,GBP,GBR
Environment & Planning Package: B + D,"1472-3417, 1472-3433",3031,USD,USA
Environment & Planning Package: B + D,"1472-3417, 1472-3433",1639,GBP,GBR
Environment & Planning Package: C + D,"1472-3425, 1472-3433",3012,USD,USA
Environment & Planning Package: C + D,"1472-3425, 1472-3433",1629,GBP,GBR
Environment & Planning Package: A + B + C + E,"1472-3409, 1472-3417, 1472-3425, 2514-8494",5870,USD,USA
Environment & Planning Package: A + B + C + E,"1472-3409, 1472-3417, 1472-3425, 2514-8494",3173,GBP,GBR
Environment & Planning Package: A + B + D + E,"1472-3409, 1472-3417,1472-3433, 2514-8494",5855,USD,USA
Environment & Planning Package: A + B + D + E,"1472-3409, 1472-3417,1472-3433, 2514-8494",3165,GBP,GBR
Environment & Planning Package: A + C + D + E,"1472-3409, 1472-3425, 1472-3433, 2514-8494",5837,USD,USA
Environment & Planning Package: A + C + D + E,"1472-3409, 1472-3425, 1472-3433, 2514-8494",3156,GBP,GBR
Environment & Planning Package: B + C + D,"1472-3417, 1472-3425, 1472-3433",4397,USD,USA
Environment & Planning Package: B + C + D,"1472-3417, 1472-3425, 1472-3433",2377,GBP,GBR
Environment & Planning Package: A + B + C + D + E + F,"1472-3409, 1472-3417, 1472-3425, 1472-3433, 2514-8494, 2634-9825",7073,USD,USA
Environment & Planning Package: A + B + C + D + E + F,"1472-3409, 1472-3417, 1472-3425, 1472-3433, 2514-8494, 2634-9825",3823,GBP,GBR
Political Studies Association Package,"1467-9248, 1478-9302, 1467-856X, 2041-9066, 1467-9256",2681,USD,USA
Political Studies Association Package,"1467-9248, 1478-9302, 1467-856X, 2041-9066, 1467-9256",1265,GBP,GBR
Psychological Sciences Package,"1467-9280, 1467-8721, 1539-6053, 1745-6924, 2167-7034, 2515-2467",10140,USD,USA
Psychological Sciences Package,"1467-9280, 1467-8721, 1539-6053, 1745-6924, 2167-7034, 2515-2467",5966,GBP,GBR
Medico-legal Collection Package M,"1758-101X,1758-1028, 2042-1818, 2042-1834",1912,USD,USA
Medico-legal Collection Package M,"1758-101X,1758-1028, 2042-1818, 2042-1834",1062,GBP,GBR
Sociology and Cultural Sociology Package,"1469-8684,1749-9763",1360,USD,USA
Sociology and Cultural Sociology Package,"1469-8684,1749-9763",734,GBP,GBR